Country,iso3c,year,Overall Scores,Safety and Security,Ongoing Conflict,Militarian,Coundation
Hungary,HUN,2020,1.548,1.827,1.474,1.145,AMAN
Hungary,HUN,2021,1.437,1.566,1.462,1.165,AMAN
Hungary,HUN,2022,1.433,1.564,1.444,1.177,AMAN
Hungary,HUN,2023,1.508,1.736,1.439,1.191,AMAN
Iceland,ISL,2019,1.093,1.181,1.023,1.032,AMAN
Iceland,ISL,2020,1.103,1.216,1.011,1.028,AMAN
Iceland,ISL,2021,1.145,1.322,1,1.028,AMAN
Iceland,ISL,2022,1.081,1.178,1,1.019,AMAN
Iceland,ISL,2023,1.124,1.282,1,1.015,AMAN
India,IND,2019,2.418,2.266,2.563,2.565,WASPADA
India,IND,2020,2.446,2.351,2.584,2.502,WASPADA
India,IND,2021,2.434,2.371,2.525,2.495,WASPADA
India,IND,2022,2.398,2.336,2.527,2.405,WASPADA
India,IND,2023,2.314,2.346,2.282,2.388,WASPADA
Indonesia,IDN,2019,1.741,2.148,1.481,1.387,AMAN
Indonesia,IDN,2020,1.835,2.207,1.715,1.357,AMAN
Indonesia,IDN,2021,1.735,2.121,1.523,1.348,AMAN
Indonesia,IDN,2022,1.775,2.091,1.523,1.566,AMAN
Indonesia,IDN,2023,1.829,2.104,1.758,1.457,AMAN
Iran,IRN,2019,2.525,2.763,2.718,1.858,WASPADA
Iran,IRN,2020,2.786,3.017,3.044,2.016,WASPADA
Iran,IRN,2021,2.763,2.867,3.106,2.105,WASPADA
Iran,IRN,2022,2.808,2.894,3.134,2.204,WASPADA
Iran,IRN,2023,2.8,2.907,3.072,2.234,WASPADA
Iraq,IRQ,2019,3.18,3.722,3.201,2.325,BAHAYA
Iraq,IRQ,2020,3.118,3.735,2.946,2.356,BAHAYA
Iraq,IRQ,2021,3.138,3.703,3.06,2.32,BAHAYA
Iraq,IRQ,2022,3.028,3.598,2.866,2.328,BAHAYA
Iraq,IRQ,2023,3.006,3.577,2.926,2.174,BAHAYA
Ireland,IRL,2019,1.34,1.467,1.224,1.307,AMAN
Ireland,IRL,2020,1.351,1.519,1.213,1.279,AMAN
Ireland,IRL,2021,1.295,1.539,1.009,1.272,AMAN
Ireland,IRL,2022,1.283,1.508,1.018,1.263,AMAN
Ireland,IRL,2023,1.312,1.548,1.028,1.301,AMAN
Israel,ISR,2019,2.672,2.345,2.315,3.836,WASPADA
Israel,ISR,2020,2.647,2.379,2.191,3.822,WASPADA
Israel,ISR,2021,2.543,2.258,2.039,3.83,WASPADA
Israel,ISR,2022,2.552,2.254,2.088,3.8,WASPADA
Israel,ISR,2023,2.706,2.349,2.435,3.783,WASPADA
Italy,ITA,2019,1.676,2.018,1.055,1.96,AMAN
Italy,ITA,2020,1.63,1.945,1.048,1.909,AMAN
Italy,ITA,2021,1.65,1.969,1.041,1.957,AMAN
Italy,ITA,2022,1.642,1.924,1.041,2.003,AMAN
Italy,ITA,2023,1.662,1.93,1.046,2.07,AMAN
Jamaica,JAM,2019,1.943,2.699,1.201,1.687,AMAN
Jamaica,JAM,2020,1.972,2.766,1.201,1.688,AMAN
Jamaica,JAM,2021,1.97,2.757,1.201,1.695,AMAN
Jamaica,JAM,2022,1.989,2.776,1.201,1.743,AMAN
Jamaica,JAM,2023,1.986,2.785,1.201,1.713,AMAN
Japan,JPN,2019,1.356,1.33,1.403,1.309,AMAN
Japan,JPN,2020,1.346,1.307,1.403,1.306,AMAN
Japan,JPN,2021,1.334,1.262,1.403,1.337,AMAN
Japan,JPN,2022,1.340,1.285,1.403,1.325,AMAN
Japan,JPN,2023,1.336,1.272,1.403,1.333,AMAN
Jordan,JOR,2019,1.904,2.033,1.722,1.94,AMAN
Jordan,JOR,2020,1.986,2.227,1.745,1.901,AMAN
Jordan,JOR,2021,1.967,2.181,1.727,1.927,AMAN
Jordan,JOR,2022,1.919,2.08,1.647,2.018,AMAN
Jordan,JOR,2023,1.895,2.125,1.602,1.898,AMAN
Kazakhstan,KAZ,2019,1.903,2.237,1.604,1.802,AMAN
Kazakhstan,KAZ,2020,1.993,2.441,1.604,1.809,AMAN
Kazakhstan,KAZ,2021,1.913,2.25,1.604,1.818,AMAN
Kazakhstan,KAZ,2022,2.067,2.481,1.805,1.782,WASPADA
Kazakhstan,KAZ,2023,1.98,2.291,1.805,1.759,AMAN
Kenya,KEN,2019,2.294,2.639,2.262,1.794,WASPADA
Kenya,KEN,2020,2.333,2.639,2.268,1.946,WASPADA
Kenya,KEN,2021,2.281,2.581,2.264,1.836,WASPADA
Kenya,KEN,2022,2.272,2.665,2.21,1.721,WASPADA
Kenya,KEN,2023,2.254,2.639,2.25,1.633,WASPADA
Kosovo,KSV,2019,1.966,2.333,1.805,1.576,AMAN
Kosovo,KSV,2020,1.973,2.348,1.805,1.577,AMAN
Kosovo,KSV,2021,1.98,2.354,1.805,1.593,AMAN
Kosovo,KSV,2022,1.948,2.28,1.805,1.596,AMAN
Kosovo,KSV,2023,1.946,2.275,1.805,1.597,AMAN
Kuwait,KWT,2019,1.762,1.817,1.516,2.062,AMAN
Kuwait,KWT,2020,1.712,1.781,1.516,1.897,AMAN
Kuwait,KWT,2021,1.709,1.789,1.516,1.863,AMAN
Kuwait,KWT,2022,1.718,1.697,1.448,2.188,AMAN
Kuwait,KWT,2023,1.669,1.693,1.403,2.062,AMAN
Kyrgyz Republic,KGZ,2019,2.042,2.32,2.006,1.659,WASPADA
Kyrgyz Republic,KGZ,2020,2.036,2.299,2.006,1.676,WASPADA
Kyrgyz Republic,KGZ,2021,1.921,2.195,1.805,1.673,AMAN
Kyrgyz Republic,KGZ,2022,2.013,2.244,2.006,1.675,WASPADA
Kyrgyz Republic,KGZ,2023,2.11,2.272,2.284,1.658,WASPADA
Laos,LAO,2019,1.756,2.089,1.403,1.705,AMAN
Laos,LAO,2020,1.818,2.116,1.403,1.917,AMAN
Laos,LAO,2021,1.781,2.091,1.403,1.807,AMAN
Laos,LAO,2022,1.82,2.076,1.403,1.996,AMAN
Laos,LAO,2023,1.779,2.088,1.403,1.805,AMAN
Latvia,LVA,2019,1.597,1.803,1.444,1.429,AMAN
Latvia,LVA,2020,1.625,1.854,1.442,1.459,AMAN
Latvia,LVA,2021,1.637,1.876,1.439,1.473,AMAN
Latvia,LVA,2022,1.624,1.84,1.439,1.482,AMAN
Latvia,LVA,2023,1.582,1.741,1.448,1.471,AMAN
Lebanon,LBN,2019,2.673,2.799,2.83,2.3,WASPADA
Lebanon,LBN,2020,2.577,2.765,2.528,2.355,WASPADA
Lebanon,LBN,2021,2.597,2.799,2.49,2.425,WASPADA
Lebanon,LBN,2022,2.56,2.765,2.474,2.353,WASPADA
Lebanon,LBN,2023,2.581,2.815,2.447,2.384,WASPADA
